YEAR;MONTH.DISC;DAY.DISC;MONTH.CONT;LONG.DD;LAT.DD
1996.00;9.00;1.00;9.00;-122.05;43.17
1996.00;7.00;31.00;8.00;-122.17;42.97
1996.00;7.00;31.00;8.00;-122.24;42.88
1996.00;7.00;31.00;8.00;-122.34;42.76
1996.00;7.00;31.00;8.00;-122.58;42.54
1996.00;7.00;31.00;8.00;-122.58;42.54
1996.00;9.00;1.00;9.00;-122.73;42.44
1996.00;7.00;30.00;8.00;-116.54;46.00
1996.00;7.00;30.00;8.00;-116.78;45.85
1996.00;7.00;30.00;8.00;-117.15;45.60
1996.00;7.00;30.00;8.00;-117.17;45.58
1996.00;7.00;30.00;8.00;-117.20;45.58
1996.00;7.00;30.00;8.00;-117.37;45.44
1996.00;7.00;30.00;8.00;-117.63;45.27
1996.00;7.00;30.00;8.00;-117.98;45.19
1996.00;7.00;30.00;8.00;-118.00;45.19
1996.00;7.00;30.00;8.00;-118.15;45.14
1996.00;7.00;30.00;8.00;-118.15;45.14
1996.00;8.00;30.00;8.00;-118.15;45.14
1996.00;7.00;30.00;8.00;-118.19;45.12
1996.00;7.00;30.00;8.00;-118.19;45.12
1996.00;7.00;30.00;8.00;-118.19;45.12
1996.00;7.00;30.00;8.00;-118.29;45.09
1996.00;7.00;30.00;8.00;-118.29;45.09
1996.00;7.00;30.00;8.00;-118.36;45.05
1996.00;7.00;30.00;8.00;-118.36;45.05
1996.00;7.00;30.00;8.00;-118.37;45.03
1996.00;7.00;30.00;8.00;-118.42;45.02
1996.00;8.00;30.00;8.00;-118.44;45.02
1996.00;7.00;30.00;8.00;-118.46;45.00
1996.00;7.00;30.00;8.00;-118.46;45.00
1996.00;7.00;30.00;8.00;-118.47;45.00
1996.00;7.00;30.00;8.00;-118.49;45.00
1996.00;7.00;30.00;8.00;-118.49;45.00
1996.00;7.00;30.00;8.00;-118.51;44.98
1996.00;7.00;30.00;8.00;-118.58;44.92
1996.00;7.00;30.00;8.00;-118.66;44.85
1996.00;7.00;30.00;8.00;-118.70;44.80
1996.00;7.00;30.00;8.00;-118.73;44.78
1996.00;7.00;30.00;8.00;-118.75;44.76
1996.00;7.00;30.00;8.00;-118.76;44.75
1996.00;7.00;30.00;8.00;-118.78;44.75
1996.00;8.00;30.00;8.00;-118.78;44.75
1996.00;7.00;30.00;8.00;-118.81;44.75
1996.00;7.00;30.00;8.00;-118.81;44.75
1996.00;7.00;30.00;8.00;-118.85;44.73
1996.00;7.00;30.00;8.00;-118.86;44.73
1996.00;7.00;30.00;8.00;-118.86;44.73
1996.00;7.00;30.00;8.00;-118.90;44.70
1996.00;7.00;30.00;8.00;-118.94;44.68
1996.00;7.00;30.00;8.00;-119.05;44.64
1996.00;8.00;30.00;8.00;-119.07;44.64
1996.00;7.00;30.00;8.00;-119.09;44.63
1996.00;7.00;30.00;8.00;-119.10;44.63
